"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","<U+0001F1F0><U+0001F1F7> Offshore platform construction <U+0001F3D7><U+FE0F>, automotive lubricants <U+0001F697>, LNG trading <U+0001F6F3> &amp; now #OffshoreWind! <U+0001F32C><U+FE0F> 

We’re expand… https://t.co/vQYxVvUSUE",FALSE,47,NA,2023-02-15 12:05:12,TRUE,NA,"1625828572744101888",NA,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",10,FALSE,FALSE,NA,NA
"2","@TottenhamFlyer Hi there, we're really sorry to hear this but thank you for getting in touch. Can you please send u… https://t.co/z88MvaTjAV",FALSE,0,"TottenhamFlyer",2023-02-09 11:11:30,TRUE,"1623572895313133569","1623640731695960064","2538720161","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"3","2022 full year results: We're accelerating investment in our transition and the energy transition while helping pro… https://t.co/pzHTLfu8SL",FALSE,71,NA,2023-02-07 07:04:18,TRUE,NA,"1622853744353222658",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",26,FALSE,FALSE,NA,NA
"4","300+ new @bppulseuk charge points are live across London - making it even easier for people who want to plug in <U+0001F50C>,… https://t.co/Whe6zeAkrd",FALSE,14,NA,2023-02-02 08:52:05,TRUE,NA,"1621068931313049600",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",4,FALSE,FALSE,NA,NA
"5","@Susieshoequeen Hi Susie, thanks for confirming this. It does sound like an error at the site so we will make sure… https://t.co/Jx5FJfJexb",FALSE,0,"Susieshoequeen",2023-01-31 10:49:16,TRUE,"1619721937378213888","1620373642168131590","1260440646","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"6","After 9 months at sea, this high-tech Seawatch® Wind LiDAR (light detection &amp; ranging) buoy is back on land. It’s m… https://t.co/bNFOSXRJdP",FALSE,27,NA,2023-01-31 09:48:57,TRUE,NA,"1620358464181620737",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",6,FALSE,FALSE,NA,NA
"7","Today we're launching this year's Energy Outlook <U+0001F504>. Join Spencer Dale, our chief economist, at 2pm UK time. There's still time to register <U+23F1>",FALSE,39,NA,2023-01-30 07:49:39,FALSE,NA,"1619966053022371840",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",4,FALSE,FALSE,NA,NA
"8","@Susieshoequeen Hi Susie, this doesn’t sound right so thanks for letting us know about it. Can you please confirm t… https://t.co/tsqut4rHkE",FALSE,0,"Susieshoequeen",2023-01-29 15:17:51,TRUE,"1619460562064384001","1619716461441814528","1260440646","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"9","Our Aral pulse #EV charging business in Germany is launching 8 stations along one of Europe's busiest routes for fr… https://t.co/E5A1pP2xaL",FALSE,13,NA,2023-01-26 11:57:44,TRUE,NA,"1618578933984665601",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",5,FALSE,FALSE,NA,NA
"10","@EmilyyBarlow Hi Emily, we're very sorry for any inconvenience this cause you but we're pleased to say this issue h… https://t.co/voSIpvXOJy",FALSE,0,"EmilyyBarlow",2023-01-24 13:56:12,TRUE,"1616444609630011392","1617883972607819776","463229248","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
