"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@lizmarienes Kia ora Elizabeth-Marie, please go to More &gt; My account &gt; Personal details &gt; Email address &gt; Edit emai… https://t.co/06T5kHqRu4",FALSE,0,"lizmarienes",2023-01-30 03:48:18,TRUE,"1619808599177560064","1619905318548283392","230689069","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"2","@nzbirdlaw Kia ora @nzbirdlaw the Marsden Point Refinery is owned by BP, Mobil and Z Energy (since the 1980s) so th… https://t.co/JSVDvKGcBh",FALSE,0,"nzbirdlaw",2023-01-16 21:48:29,TRUE,"1614388307827515393","1615103721964191745","1380854965850099712","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"3","@YahDxd Kia ora Fatilau, We have no plans to bring back Blokhedz right now. After the Marvel and DC heroes what ""he… https://t.co/cWmCwey4Cc",FALSE,0,"YahDxd",2023-01-16 21:19:33,TRUE,"1614830563424366594","1615096443521343490","1472481924878778370","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"4","@CarlElphick Kia ora Carl, no sorry, you can't earn Airpoints Dollars using that method. New World Clubcards that a… https://t.co/pgdrLFMrDj",FALSE,0,"CarlElphick",2023-01-05 20:40:24,TRUE,"1610905867477712900","1611100322952273922","18274191","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"5","@ZureenAli4 Kia ora Zureen, sorry to hear about your experience. Can you please send us a DM letting us know the ti… https://t.co/XBxrjpXTOc",FALSE,0,"ZureenAli4",2022-12-11 20:13:39,TRUE,"1601747844553064448","1602033896765399040","1498101530825687044","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"6","@perfectclarity Yep, NZ, New Zealand, Aotearoa - all ways of naming our favourite country^D",FALSE,0,"perfectclarity",2022-12-02 03:51:52,FALSE,"1597720980138643458","1598525328841998336","51867650","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"7","@nzpolkermit Hi there, While the ownership has changed, who we are as a company has not. We remain firmly committed… https://t.co/Wvk50Q2GTb",FALSE,0,"nzpolkermit",2022-12-02 03:47:36,TRUE,"1597552923399303172","1598524256266117121","1503564096356380673","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"8","@OmattmanO Kia Ora OmattmanO we reckon our double certified fairtrade organic coffee beans produce a pretty decent,… https://t.co/iRHk2mbqnV",FALSE,0,"OmattmanO",2022-12-02 03:36:13,TRUE,"1598023968488759296","1598521390927413248","463531684","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"9","@CarlElphick Kia ora Carl, thanks for the question. We do not have any immediate plans to add coffee to DoorDash, h… https://t.co/tmrX72v9B3",FALSE,0,"CarlElphick",2022-12-01 04:04:34,TRUE,"1593816889255669760","1598166136616636418","18274191","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"10","@isabella66818 Kia ora Isabella, each company has a different business model, from low-cost, unmanned sites to full… https://t.co/JwrG65jaJz",FALSE,0,"isabella66818",2022-12-01 02:41:10,TRUE,"1597687974371930112","1598145149921542144","3167994080","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"11","@ITHeavyHitters Kia ora, thanks for reaching out. Can you please send us a DM with more information and we can look… https://t.co/MjAOxfpkvl",FALSE,1,"ITHeavyHitters",2022-11-28 21:51:31,TRUE,"1594924854947778560","1597347480093573126","1633534669","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"12","@pcuser42 Kia ora Alex, can you please send us a DM confirming your Pumped stacking method (Airpoints/Flybuys/Z App… https://t.co/hnJRwj9PRh",FALSE,0,"pcuser42",2022-11-10 02:35:45,TRUE,"1590487757964861441","1590533640034852865","46782430","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"13","@DJfromNZ Kia ora, thanks for letting us know. Could you please send us a DM including the Z location, time/date of… https://t.co/iGyixjez2t",FALSE,0,"DJfromNZ",2022-11-03 21:00:01,TRUE,"1588003382761033729","1588274822412656640","1548848158129606656","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"14","@Davidalanjeffr2 Kia ora David, we're still counting the votes at the moment. We'll announce the results this month… https://t.co/HoR4Gjkvif",FALSE,0,"Davidalanjeffr2",2022-11-02 03:55:24,TRUE,"1587569076272271361","1587654584280940545","1431819766814035973","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"15","@Ewan_M Kia ora Ewan, we realise having to change apps isn't ideal. We're applying a $20 credit for existing Rolles… https://t.co/CF0UcLVMMy",FALSE,0,"Ewan_M",2022-10-28 02:49:26,TRUE,"1585132052726153216","1585826040802578433","18242184","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"16","@john81829271 Kia ora John, our prices vary from station to station for a number of reasons: Transport logistics, l… https://t.co/Okw1qRLDGN",FALSE,0,"john81829271",2022-10-27 21:19:38,TRUE,"1582250101392953344","1585743045143810049","1093268891671748608","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"17","@DicereVerum Kia ora, yes, the AdBlue facility added to Caltex Dunedin truck stop is permanent. ^AS",FALSE,1,"DicereVerum",2022-10-27 21:00:57,FALSE,"1585126037884923904","1585738344033566720","1268023823439245312","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",1,FALSE,FALSE,NA,NA
"18","@DicereVerum Kia ora, we've just been given word that an AdBlue dispenser has been installed at the Caltex Dunedin… https://t.co/4NcJOkbLtM",FALSE,1,"DicereVerum",2022-10-25 21:53:14,TRUE,"1583926833698902017","1585026726585040898","1268023823439245312","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",1,FALSE,FALSE,NA,NA
"19","@DicereVerum Kia ora, we do also offer Air1 AdBlue brand 10 litre packs at some Z and Caltex retail sites (which ca… https://t.co/fVAazGut4Q",FALSE,1,"DicereVerum",2022-10-21 04:05:38,TRUE,"1583014830138884096","1583308505263456257","1268023823439245312","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",1,FALSE,FALSE,NA,NA
"20","@DicereVerum Kia ora, Z Dunedin truck stop has temporarily closed due to maintenance until mid-December. We apologi… https://t.co/7OaJPdZZr4",FALSE,0,"DicereVerum",2022-10-20 03:39:43,TRUE,"1582807723837599744","1582939593632288769","1268023823439245312","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"21","@stinkykiwi Kia ora Matt, we will follow up and look into your case, can you please DM us your contact email address. Cheers ^AS",FALSE,0,"stinkykiwi",2022-09-22 04:28:23,FALSE,"1572458114179551233","1572804980524060677","46872715","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"22","@stinkykiwi Kia ora Matt, apologies for the delay on this one. Can you please DM us to confirm your email address s… https://t.co/8X9HJfGX1F",FALSE,0,"stinkykiwi",2022-09-21 04:00:39,TRUE,"1570490830552702981","1572435613676367872","46872715","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"23","@Theocracidal Kia ora, sorry to see this, this doesn't look right at all! But thanks for bringing it to our attenti… https://t.co/cJDXNm1fV8",FALSE,1,"Theocracidal",2022-09-16 04:47:26,TRUE,"1569145939209879552","1570635449349341184","454273286","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"24","Across Aotearoa, a number of coastal areas are currently being scoped out as part of a “blue carbon” pilot programm… https://t.co/25HP8cqEOE",FALSE,0,NA,2022-09-09 02:23:28,TRUE,NA,"1568062503904751620",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","zenergynz",0,FALSE,FALSE,NA,NA
"25","@FldmAlva As for the products we sell, we're committed to working with our customers to reduce their emissions by m… https://t.co/V0MJbLsKWV",FALSE,0,"zenergynz",2022-09-08 01:59:37,TRUE,"1567693758120214533","1567694113696534529","236114503","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","zenergynz",0,FALSE,FALSE,NA,NA
"26","@FldmAlva Kia ora Alva, thanks for the message, we're pleased you raised it. We're targeting a 42% emissions reduct… https://t.co/Ggp2hi9KIn",FALSE,0,"FldmAlva",2022-09-08 01:58:12,TRUE,"1567322169037967363","1567693758120214533","1102152360250421248","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","zenergynz",0,FALSE,FALSE,NA,NA
"27","@WastelessNZ Kia ora Caitlin, thanks for that. We welcome the use of reusable cups at our sites and offer a discoun… https://t.co/ltjzUhl05T",FALSE,1,"Wasteless_cait",2022-08-22 04:12:24,TRUE,"1560462087956049921","1561566934033997825","2433418399","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"28","@AklBikes @carolgreen @maartenJvanr @CriticalMassAKL Kia ora Peter, thanks for also letting us know about this. ^AS",FALSE,2,"AklBikes",2022-08-18 22:20:21,FALSE,"1559763943660605440","1560391175634391043","251011535","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"29","@carolgreen Thanks for that Carol, we'll pass that on. Cheers ^AS",FALSE,1,"carolgreen",2022-08-18 22:20:04,FALSE,"1559756041893490688","1560391104784105473","14241417","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"30","@carolgreen @maartenJvanr Kia ora Carol. Yes, we can confirm that all Z sites should have a hand/foot pump availabl… https://t.co/9zDdCJyjVB",FALSE,1,"carolgreen",2022-08-17 04:12:45,TRUE,"1558730067160666113","1559755084401197058","14241417","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"31","@ReadymixDriver Hi again, I've just spoken with the team, and they'd like to know a few extra details such as when… https://t.co/V01Hyl5VDZ",FALSE,0,"ReadymixDriver",2022-08-14 23:09:59,TRUE,"1557439374371205120","1558954114645647365","997244228034904064","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"32","@ReadymixDriver Kia ora, thanks for bringing this to our attention. I'll pass on the feedback to the team at Caltex… https://t.co/MCIuYu3ULw",FALSE,1,"ReadymixDriver",2022-08-14 21:20:00,TRUE,"1557439374371205120","1558926436416819200","997244228034904064","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"33","""Too much management has resulted in too little action and too much talking for far too long""

Our Chief Executive… https://t.co/PkbGb06VPt",FALSE,1,NA,2022-07-22 02:51:00,TRUE,NA,"1550312425760903169",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","zenergynz",0,FALSE,FALSE,NA,NA
"34","@captain_pinchy Kia ora, we'd like to investigate this further for you if you can please PM us with a bit more deta… https://t.co/uF64uwXJfX",FALSE,1,"captain_pinchy",2022-07-19 03:04:58,TRUE,"1548534613412560896","1549228778483847173","818568493326970880","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"35","@sitharus Kia ora Thea, these will be replaced with fast chargers in the coming months. In the interim there's a pe… https://t.co/fviMm3bFSA",FALSE,0,"sitharus",2022-07-11 22:25:27,TRUE,"1546292053826424832","1546621720047620096","11361232","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"36","@BenWilton @eeca_nz @ChargeNetNZ Kia ora Ben, we have broken up, with the utmost respect for each other as we both… https://t.co/gbKKc5XLZf",FALSE,0,"BenWilton",2022-07-06 00:21:30,TRUE,"1543168852129103872","1544476596127645698","12883812","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"37","@maknz Kia ora Regan, the 10c sign up voucher is redeemable by scanning the voucher QR code either in-store or thro… https://t.co/djJYrv5pjv",FALSE,0,"maknz",2022-07-05 03:53:19,TRUE,"1542718596106752002","1544167514514620416","2503774435","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"38","@maknz Kia ora Regan, are you able to DM us with more info on the voucher you're trying to use so we can help with this? ^AC",FALSE,0,"maknz",2022-07-01 03:54:02,FALSE,"1542445558635237376","1542718142878810112","2503774435","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"39","Safety and Wellbeing are one of our stands here at Z, so we're super proud to have been recognised in this area at… https://t.co/hmDzEQfJMv",FALSE,1,NA,2022-06-29 23:31:24,TRUE,NA,"1542289660663468032",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","zenergynz",0,FALSE,FALSE,NA,NA
"40","We're proud to be partnering with the @nzpolice to help encourage drivers to keep safe on their journeys over the l… https://t.co/0TjuPk9rzI",FALSE,13,NA,2022-06-03 03:11:01,TRUE,NA,"1532560456929484812",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",4,FALSE,FALSE,NA,NA
"41","We've been getting A LOT of questions about the amazing waiata in our new advertising and we're stoked to see it ou… https://t.co/nQMgtYJTSp",FALSE,0,NA,2022-05-20 02:48:54,TRUE,NA,"1527481463889076225",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","zenergynz",0,FALSE,FALSE,NA,NA
"42","This week was a significant milestone for Z, officially joining @AmpolAustralia. 

Our Chief Executive Mike Bennett… https://t.co/tIKePEPeEf",FALSE,0,NA,2022-05-13 00:57:35,TRUE,NA,"1524916735404834816",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","zenergynz",0,FALSE,FALSE,NA,NA
"43","@organisedchaos2 Kia ora, the first step on our EV charging journey will see 30+ chargers being installed at 14 sit… https://t.co/k6XuHVzE7G",FALSE,0,"organisedchaos2",2022-05-09 03:36:00,TRUE,"1522856670183174145","1523507047026802695","221307660","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"44","@stevebiddle Kia ora Steve, the billboards use a camera-based vehicle measurement tool. Data is supplied anonymousl… https://t.co/zW7Wr1kK96",FALSE,0,"stevebiddle",2022-04-28 00:52:00,TRUE,"1519166824323387392","1519479509950640128","18113473","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"45","@waseemka7 Kia ora, I'm so sorry that your experience wasn't enjoyable. I'd love to follow up with the site so they… https://t.co/ydJigVhHeV",FALSE,0,"waseemka7",2022-04-25 23:41:49,TRUE,"1517342683949268992","1518737070780522496","372177790","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"46","@da_geeman Kia ora, the truck driver is parked up while enjoying their yummy pie. There's a wide angle shot of it j… https://t.co/TieNbOBqJj",FALSE,0,"da_geeman",2022-04-20 21:11:45,TRUE,"1516679207585075213","1516887367302397954","459671397","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"47","@kia_ora_world NZ currently sources majority of its crude oil from the Middle East. Moving to an import-only model… https://t.co/laEcOuie97",FALSE,0,"kia_ora_world",2022-04-14 02:16:58,TRUE,"1513815564397211648","1514427464482754570","185357281","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"48","@haamfish @ChargeNetNZ @MeridianEnergy @ContactEnergy @TranspowerNZ @ecotricity_nz @nzlabour @NZGreens Absolutely!… https://t.co/u7vsrYGD8A",FALSE,1,"haamfish",2022-04-12 03:34:31,TRUE,"1513714739733725187","1513722203640115205","45327415","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"49","@haamfish @ChargeNetNZ @MeridianEnergy @ContactEnergy @TranspowerNZ @ecotricity_nz @nzlabour @NZGreens Kia ora Hami… https://t.co/DMkd40xPNO",FALSE,1,"haamfish",2022-04-12 02:48:14,TRUE,"1513428784909021184","1513710555118379012","45327415","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"50","@captain_pinchy @hhb442 @TheSpinoffTV Moving with the times for us means recognising that Kiwis are moving in diffe… https://t.co/V8hzZQfHk9",FALSE,1,"captain_pinchy",2022-04-08 03:33:09,TRUE,"1512204894761291783","1512272307041021953","818568493326970880","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"51","@patrickmorgan @captain_pinchy @hhb442 @TheSpinoffTV @CyclingActionNZ It's true, most sites would have bike pumps a… https://t.co/pylzElSFJu",FALSE,2,"patrickmorgan",2022-04-08 03:21:00,TRUE,"1512207451671920645","1512269251708698625","18263340","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"52","@maartenJvanr @carolgreen Those are amazing suggestions! Thank you for reaching out. I'll be passing that on to the… https://t.co/USL3yJREHr",FALSE,4,"maartenJvanr",2022-04-06 22:09:25,TRUE,"1511615989775204352","1511828450193063941","497690075","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"53","@ejpountney Kia ora, sorry to hear you've been having issues. If you'd like to private message us with a bit more d… https://t.co/bl2M1B6xNV",FALSE,0,"ejpountney",2022-04-06 21:54:58,TRUE,"1511625730949812231","1511824812963946505","249116287","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"54","@bigrichNZ Kia ora Rich, thanks for the message, we appreciate the support and certainly plan to be here for the long run! ^AC",FALSE,0,"bigrichNZ",2022-04-04 23:04:15,FALSE,"1510899091131502593","1511117473206226944","68923544","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"55","@Jiu_Jase We're very much committed to transition to a low carbon future and transitioning to cleaner energies. As… https://t.co/VnwoNwT3Nd",FALSE,0,"Jiu_Jase",2022-04-04 01:15:48,TRUE,"1510783761491034113","1510788189077843971","850504404","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"56","‘We’re in the business of getting out of the petrol business’ is a pretty provocative statement for a fuel company… https://t.co/WQPhpwZ3OQ",FALSE,9,NA,2022-04-03 22:55:01,TRUE,NA,"1510752760479768582",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"57","We were stoked to have Caltex join the Z whanau in 2016 and today we're extra pleased to be able to announce that t… https://t.co/Cyz0ijY9u1",FALSE,6,NA,2022-03-22 03:22:58,TRUE,NA,"1506109150115540997",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","zenergynz",1,FALSE,FALSE,NA,NA
"58","@danielfarrellnz If you'd prefer to stack balances across brands (Z &amp; Caltex), the best way is using Flybuys or Air… https://t.co/Iue9MVXIT0",FALSE,0,"danielfarrellnz",2022-03-21 03:57:33,TRUE,"1505728992250277890","1505755467703898112","17642053","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"59","@danielfarrellnz Kia ora Daniel, you can redeem any balances accumulated against either your Z or Caltex Apps, plus… https://t.co/5vu8byJiPJ",FALSE,0,"danielfarrellnz",2022-03-21 00:59:51,TRUE,"1504636368994983936","1505710748416237574","17642053","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"60","@staticnz No worries Callum! Always happy to help <U+0001F600> ^AC",FALSE,1,"staticnz",2022-03-17 03:42:33,FALSE,"1504301228662345728","1504302138675052545","2632901","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"61","@thisistonylu Kia ora Tony, thanks so much for the message. We were really keen to do right by our Sharetank custom… https://t.co/ug00qRqfeQ",FALSE,0,"thisistonylu",2022-03-17 02:19:36,TRUE,"1504256978247634945","1504281265335382024","53424828","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
"62","@herbertbigtime @HaydenPaddon Kia ora, we try our best to provide great customer service, unfortunately sometimes w… https://t.co/OkJQXbzQRz",FALSE,0,"heheissleeping",2022-03-15 21:24:42,TRUE,"1503599586056994816","1503844663375147019","3811026314","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","zenergynz",0,FALSE,FALSE,NA,NA
